portfolio_run_id,gate_threshold,max_assets,high_corr_scale,execution_delay_bars,latency_lookback_bars,total_trades,gated_signals_count,gated_cluster_window_count,portfolio_net_pnl,portfolio_profit_factor
portfolio_e0e250052219,0.75,2,0.6,0,0,16,2,0,-8.113072764287132,0.725173160179893
portfolio_c70b3daa6cfe,0.75,2,0.6,0,1,15,3,1,-10.634490415067363,0.6397612250274223
portfolio_1c07dcf375ba,0.75,2,0.6,0,2,14,5,3,-16.692408470823427,0.4345518643421318
portfolio_214b5ffeb997,0.75,2,0.6,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_c13cc8d2f0f2,0.75,2,0.6,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_de438ea9d442,0.75,2,0.6,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_db69ef752c6b,0.75,2,0.6,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_f7b7bea4341f,0.75,2,0.6,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_8ac642759fd9,0.75,2,0.6,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_8dd1b4b80b9f,0.8,1,0.25,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_4274b69f8b22,0.8,1,0.25,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_05f798be52e2,0.8,1,0.25,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_2d9e33e80a4b,0.8,1,0.25,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_50c1975a1ca3,0.8,1,0.25,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_7057092c5df5,0.8,1,0.25,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_fce1f5fec173,0.8,1,0.25,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_72bd6064b276,0.8,1,0.25,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_d71568a30495,0.8,1,0.25,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_1d07cb6ef84a,0.8,1,0.4,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_811f9a66a04f,0.8,1,0.4,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_b10cd0fe6ec1,0.8,1,0.4,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_b330f01e4c27,0.8,1,0.4,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_bf9fa2f4fa3f,0.8,1,0.4,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_5f9f2b3d4a55,0.8,1,0.4,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_f1e1801e38bf,0.8,1,0.4,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_e851a7063f4d,0.8,1,0.4,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_41fd86dc4f55,0.8,1,0.4,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_59aedb02bd1c,0.8,1,0.5,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_7fc2a836e5b6,0.8,1,0.5,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_27be29de2549,0.8,1,0.5,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_e9266a93229f,0.8,1,0.5,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_a0eec75a4a55,0.8,1,0.5,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_7570438938bd,0.8,1,0.5,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_5e517c2362e2,0.8,1,0.5,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_5707485d009a,0.8,1,0.5,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_5e5849446adf,0.8,1,0.5,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_d83b1f15fd48,0.8,1,0.6,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_51a86277014d,0.8,1,0.6,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_28b595ceaf9b,0.8,1,0.6,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_934cad775ab4,0.8,1,0.6,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_d77cf9cd136b,0.8,1,0.6,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_231260305117,0.8,1,0.6,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_0e18606d9d3d,0.8,1,0.6,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_5a3bef7bc296,0.8,1,0.6,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_0c0da68af399,0.8,1,0.6,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_c0c13991877e,0.8,2,0.25,0,0,17,1,0,-14.475312335356682,0.5965959271302936
portfolio_57962f4aa36a,0.8,2,0.25,0,1,16,2,1,-16.996729986136913,0.5263280029456202
portfolio_4b46d3dd1bd2,0.8,2,0.25,0,2,15,4,3,-23.054648041892975,0.35750340281358367
portfolio_b6f3b51f3a0b,0.8,2,0.25,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_0b360a2b0ccf,0.8,2,0.25,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_941721486c78,0.8,2,0.25,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_84d7876b9b86,0.8,2,0.25,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_3e9962f65b4e,0.8,2,0.25,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_c5e3e72de437,0.8,2,0.25,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_93a5555ee3cd,0.8,2,0.4,0,0,17,1,0,-14.475312335356682,0.5965959271302936
portfolio_e7c513f74af0,0.8,2,0.4,0,1,16,2,1,-16.996729986136913,0.5263280029456202
portfolio_7228a4449e9e,0.8,2,0.4,0,2,15,4,3,-23.054648041892975,0.35750340281358367
portfolio_33906b6fe11c,0.8,2,0.4,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_06ec9221dffe,0.8,2,0.4,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_442588cd988a,0.8,2,0.4,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_d51367259c94,0.8,2,0.4,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_066d658cd0c9,0.8,2,0.4,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_316953a56db6,0.8,2,0.4,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_0d029574bf90,0.8,2,0.5,0,0,17,1,0,-14.475312335356682,0.5965959271302936
portfolio_3a372b4805f4,0.8,2,0.5,0,1,16,2,1,-16.996729986136913,0.5263280029456202
portfolio_fc1185e1f354,0.8,2,0.5,0,2,15,4,3,-23.054648041892975,0.35750340281358367
portfolio_8a8135c7ae8a,0.8,2,0.5,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_d00440b3490f,0.8,2,0.5,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_c57e764d6a87,0.8,2,0.5,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_334d4ada28d1,0.8,2,0.5,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_b9e2bd564156,0.8,2,0.5,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_f31f7d5385bb,0.8,2,0.5,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_19660d37e705,0.8,2,0.6,0,0,17,1,0,-14.475312335356682,0.5965959271302936
portfolio_107b4c5bceb9,0.8,2,0.6,0,1,16,2,1,-16.996729986136913,0.5263280029456202
portfolio_b6588818eec5,0.8,2,0.6,0,2,15,4,3,-23.054648041892975,0.35750340281358367
portfolio_ea62264f9ef4,0.8,2,0.6,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_a4278b4f68ed,0.8,2,0.6,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_20f075531ab2,0.8,2,0.6,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_b1b092b3a1de,0.8,2,0.6,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_3dd3a2a759cd,0.8,2,0.6,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_88b4cd845f5a,0.8,2,0.6,2,2,16,3,3,-51.444301039916006,0.06289733095071291
portfolio_7f35f885f2cf,0.85,1,0.25,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_cb5713841ed6,0.85,1,0.25,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_d7b21bf255de,0.85,1,0.25,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_f6261efbf848,0.85,1,0.25,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_69b5dcc1fbe2,0.85,1,0.25,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_760a3f43bff4,0.85,1,0.25,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_9a2eb3442fab,0.85,1,0.25,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_9c37102ae2fc,0.85,1,0.25,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_b8d3b54285e7,0.85,1,0.25,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_bfc4686e97a0,0.85,1,0.4,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_7c63bf8ee230,0.85,1,0.4,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_fa08282c5f1e,0.85,1,0.4,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_50801dd539f8,0.85,1,0.4,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_e55bdd80eaa9,0.85,1,0.4,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_00a3c78159cc,0.85,1,0.4,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_216ca7406781,0.85,1,0.4,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_61b57e9a02db,0.85,1,0.4,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_f154dd3c695f,0.85,1,0.4,2,2,11,4,0,-33.706652719036434,0.08964306473430372
